,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
67,18,0,0,0,0,0,0,0,0,0,759,Frequency,10,2003
68,22,0,2,0,0,0,1,0,0,3,759,Frequency,10,2003
69,27,0,1,0,0,0,0,0,0,1,759,Frequency,10,2003
70,33,0,1,0,0,0,0,0,0,1,759,Frequency,10,2003
71,Total,3,54,1,0,0,5,0,0,63,759,Frequency,10,2003
72,3,0,14,0,0,0,1,0,0,15,765,Frequency,10,1989
73,4,0,98,0,0,0,1,0,0,99,765,Frequency,10,1989
74,12,0,0,0,0,0,0,0,0,0,765,Frequency,10,1989
75,15,0,0,0,0,0,0,0,0,0,765,Frequency,10,1989
76,18,0,0,0,0,0,0,0,0,0,765,Frequency,10,1989
77,22,0,1,0,0,0,4,0,0,5,765,Frequency,10,1989
78,27,0,0,0,0,0,0,0,0,0,765,Frequency,10,1989
79,33,0,0,0,0,0,0,0,2,2,765,Frequency,10,1989
80,Total,0,113,0,0,0,6,0,2,121,765,Frequency,10,1989
81,3,2,19,0,0,0,0,0,0,21,7622,Frequency,9,2003
82,4,1,74,0,0,0,1,0,0,76,7622,Frequency,9,2003
83,12,0,1,0,0,0,0,0,0,1,7622,Frequency,9,2003
84,15,0,0,0,0,0,0,0,0,0,7622,Frequency,9,2003
85,18,0,0,0,0,0,0,0,0,0,7622,Frequency,9,2003
86,22,0,0,0,0,0,0,0,0,0,7622,Frequency,9,2003
87,27,0,0,0,0,0,0,0,0,0,7622,Frequency,9,2003
88,33,0,0,0,0,0,0,0,0,0,7622,Frequency,9,2003
89,Total,3,94,0,0,0,1,0,0,98,7622,Frequency,9,2003
90,3,0,9,0,0,0,1,0,0,10,76111,Frequency,5,2016
91,4,0,30,0,0,0,1,0,0,31,76111,Frequency,5,2016
92,12,0,0,0,0,0,0,0,0,0,76111,Frequency,5,2016
93,15,0,0,0,0,0,0,0,0,0,76111,Frequency,5,2016
94,18,0,0,0,0,0,0,0,0,0,76111,Frequency,5,2016
95,22,0,0,0,0,0,2,0,0,2,76111,Frequency,5,2016
96,27,0,0,0,0,0,0,0,0,0,76111,Frequency,5,2016
97,33,0,0,0,0,0,0,0,3,3,76111,Frequency,5,2016
98,Total,0,39,0,0,0,4,0,3,46,76111,Frequency,5,2016
99,3,35,13,0,0,0,0,0,0,48,7741,Frequency,10,2015
100,4,20,101,4,0,0,1,0,0,126,7741,Frequency,10,2015
101,12,3,4,1,0,0,0,0,0,8,7741,Frequency,10,2015
102,15,0,0,0,0,0,0,0,0,0,7741,Frequency,10,2015
103,18,0,0,0,0,0,0,0,0,0,7741,Frequency,10,2015
104,22,0,1,1,0,0,0,0,0,2,7741,Frequency,10,2015
105,27,0,0,0,0,0,0,0,0,0,7741,Frequency,10,2015
106,33,0,0,0,0,0,0,0,1,1,7741,Frequency,10,2015
107,Total,58,119,6,0,0,1,0,1,185,7741,Frequency,10,2015
108,3,14,3,0,0,0,2,0,0,19,751,Frequency,10,2018
109,4,70,67,0,0,0,0,0,0,137,751,Frequency,10,2018
110,12,0,3,1,0,0,0,0,0,4,751,Frequency,10,2018
111,15,0,0,0,0,0,0,0,0,0,751,Frequency,10,2018
112,18,0,0,0,0,0,0,0,0,0,751,Frequency,10,2018
113,22,0,5,0,0,0,5,0,0,10,751,Frequency,10,2018
114,27,0,0,0,0,0,0,0,0,0,751,Frequency,10,2018
115,33,0,0,0,0,0,1,0,2,3,751,Frequency,10,2018
116,Total,84,78,1,0,0,8,0,2,173,751,Frequency,10,2018
117,3,0,1,0,0,0,0,0,0,1,7421,Frequency,10,2019
118,4,1,62,0,0,0,0,0,0,63,7421,Frequency,10,2019
119,12,0,0,0,0,0,1,0,0,1,7421,Frequency,10,2019
120,15,0,0,0,0,0,0,0,0,0,7421,Frequency,10,2019
121,18,0,0,0,0,0,0,0,0,0,7421,Frequency,10,2019
122,22,0,0,0,0,0,0,0,0,0,7421,Frequency,10,2019
123,27,0,0,0,0,0,0,0,0,0,7421,Frequency,10,2019
124,33,0,0,0,0,0,0,0,0,0,7421,Frequency,10,2019
125,Total,1,63,0,0,0,1,0,0,65,7421,Frequency,10,2019
126,3,0,0,0,0,0,0,0,0,0,7616,Frequency,10,2006
127,4,0,79,5,0,0,0,0,0,84,7616,Frequency,10,2006
128,12,0,2,1,0,0,0,0,0,3,7616,Frequency,10,2006
129,15,0,0,0,0,0,0,0,0,0,7616,Frequency,10,2006
130,18,0,0,0,0,0,0,0,0,0,7616,Frequency,10,2006
131,22,0,0,0,0,0,0,0,0,0,7616,Frequency,10,2006
132,27,0,0,0,0,0,0,0,0,0,7616,Frequency,10,2006
133,33,0,0,0,0,0,0,0,0,0,7616,Frequency,10,2006
134,Total,0,81,6,0,0,0,0,0,87,7616,Frequency,10,2006
135,3,0,0,0,0,0,0,0,0,0,7616,Frequency,5,2014
136,4,2,65,19,0,0,0,0,0,86,7616,Frequency,5,2014
137,12,0,1,2,0,0,0,0,0,3,7616,Frequency,5,2014
138,15,0,0,0,0,0,0,0,0,0,7616,Frequency,5,2014
139,18,0,0,0,0,0,0,0,0,0,7616,Frequency,5,2014
140,22,0,0,0,0,0,0,0,0,0,7616,Frequency,5,2014
141,27,0,0,0,0,0,0,0,0,0,7616,Frequency,5,2014
142,33,0,0,0,0,0,0,0,0,0,7616,Frequency,5,2014
143,Total,2,66,21,0,0,0,0,0,89,7616,Frequency,5,2014
144,3,0,11,0,0,0,0,0,0,11,76111,Frequency,9,2006
145,4,0,38,0,0,0,0,0,0,38,76111,Frequency,9,2006
146,12,0,0,0,0,0,0,0,0,0,76111,Frequency,9,2006
147,15,0,0,0,0,0,0,0,0,0,76111,Frequency,9,2006
148,18,0,0,0,0,0,0,0,0,0,76111,Frequency,9,2006
149,22,0,0,0,0,0,1,0,0,1,76111,Frequency,9,2006
150,27,0,0,0,0,0,0,0,0,0,76111,Frequency,9,2006
151,33,0,0,0,0,0,0,0,3,3,76111,Frequency,9,2006
152,Total,0,49,0,0,0,1,0,3,53,76111,Frequency,9,2006
153,3,6,2,0,0,0,0,0,0,8,745,Frequency,5,1988
154,4,24,23,4,0,0,0,0,0,51,745,Frequency,5,1988
155,12,0,0,0,0,0,1,0,0,1,745,Frequency,5,1988
156,15,0,0,0,0,0,0,0,0,0,745,Frequency,5,1988
157,18,0,0,0,0,0,0,0,0,0,745,Frequency,5,1988
158,22,0,0,0,0,0,0,0,0,0,745,Frequency,5,1988
159,27,0,0,0,0,0,0,0,0,0,745,Frequency,5,1988
160,33,0,0,0,0,0,0,0,0,0,745,Frequency,5,1988
161,Total,30,25,4,0,0,1,0,0,60,745,Frequency,5,1988
162,3,2,7,0,0,0,0,0,0,9,767,Frequency,5,2009
163,4,0,40,0,0,0,0,0,0,40,767,Frequency,5,2009
164,12,0,0,0,0,0,0,0,0,0,767,Frequency,5,2009
165,15,0,0,0,0,0,0,0,0,0,767,Frequency,5,2009
166,18,0,0,0,0,0,0,0,0,0,767,Frequency,5,2009
167,22,0,0,0,0,0,1,0,0,1,767,Frequency,5,2009
168,27,0,0,0,0,0,0,0,0,0,767,Frequency,5,2009
169,33,0,0,0,0,0,0,0,0,0,767,Frequency,5,2009
170,Total,2,47,0,0,0,1,0,0,50,767,Frequency,5,2009
171,3,2,1,0,0,0,0,0,0,3,771,Frequency,9,2017
172,4,7,93,7,0,0,2,0,0,109,771,Frequency,9,2017
173,12,0,4,0,0,0,0,0,0,4,771,Frequency,9,2017
174,15,0,0,0,0,0,0,0,0,0,771,Frequency,9,2017
175,18,0,0,0,0,0,0,0,0,0,771,Frequency,9,2017
176,22,0,2,0,0,0,0,0,0,2,771,Frequency,9,2017
177,27,0,0,0,0,0,0,0,0,0,771,Frequency,9,2017
178,33,0,0,0,0,0,0,0,1,1,771,Frequency,9,2017
179,Total,9,100,7,0,0,2,0,1,119,771,Frequency,9,2017
180,3,137,229,1,0,0,6,0,2,375,Caatinga,Frequency,9,1997
181,4,296,4485,177,0,0,86,0,7,5051,Caatinga,Frequency,9,1997
182,12,4,70,39,0,0,43,0,8,164,Caatinga,Frequency,9,1997
183,15,0,0,0,0,0,0,0,0,0,Caatinga,Frequency,9,1997
184,18,0,0,0,0,0,0,0,0,0,Caatinga,Frequency,9,1997
185,22,5,24,5,0,0,57,0,2,93,Caatinga,Frequency,9,1997
186,27,4,13,0,0,0,3,0,0,20,Caatinga,Frequency,9,1997
187,33,7,16,3,0,0,6,0,99,131,Caatinga,Frequency,9,1997
188,Total,453,4837,225,0,0,201,0,118,5834,Caatinga,Frequency,9,1997
189,3,2,2,0,0,0,0,0,0,4,7422,Frequency,5,1995
190,4,4,114,0,0,0,0,0,0,118,7422,Frequency,5,1995
191,12,0,3,1,0,0,0,0,0,4,7422,Frequency,5,1995
192,15,0,0,0,0,0,0,0,0,0,7422,Frequency,5,1995
193,18,0,0,0,0,0,0,0,0,0,7422,Frequency,5,1995
194,22,0,0,0,0,0,0,0,0,0,7422,Frequency,5,1995
195,27,0,3,0,0,0,0,0,0,3,7422,Frequency,5,1995
196,33,0,2,0,0,0,0,0,1,3,7422,Frequency,5,1995
197,Total,6,124,1,0,0,0,0,1,132,7422,Frequency,5,1995
198,3,0,0,0,0,0,0,0,0,0,7617,Frequency,10,1995
199,4,0,117,4,0,0,1,0,0,122,7617,Frequency,10,1995
200,12,0,1,1,0,0,1,0,0,3,7617,Frequency,10,1995
201,15,0,0,0,0,0,0,0,0,0,7617,Frequency,10,1995
202,18,0,0,0,0,0,0,0,0,0,7617,Frequency,10,1995
203,22,0,0,0,0,0,1,0,1,2,7617,Frequency,10,1995
204,27,0,0,0,0,0,0,0,0,0,7617,Frequency,10,1995
205,33,0,0,0,0,0,1,0,28,29,7617,Frequency,10,1995
206,Total,0,118,5,0,0,4,0,29,156,7617,Frequency,10,1995
207,3,5,3,0,0,0,0,0,0,8,745,Frequency,9,1991
208,4,24,24,0,0,0,1,0,0,49,745,Frequency,9,1991
209,12,0,0,0,0,0,1,0,0,1,745,Frequency,9,1991
210,15,0,0,0,0,0,0,0,0,0,745,Frequency,9,1991
211,18,0,0,0,0,0,0,0,0,0,745,Frequency,9,1991
212,22,0,0,0,0,0,0,0,0,0,745,Frequency,9,1991
213,27,0,0,0,0,0,0,0,0,0,745,Frequency,9,1991
214,33,0,0,0,0,0,0,0,0,0,745,Frequency,9,1991
215,Total,29,27,0,0,0,2,0,0,58,745,Frequency,9,1991
216,3,142,221,0,0,0,3,0,1,367,Caatinga,Frequency,10,2019
217,4,308,4450,158,0,0,36,0,5,4957,Caatinga,Frequency,10,2019
218,12,4,69,39,0,0,37,0,1,150,Caatinga,Frequency,10,2019
219,15,0,0,0,0,0,0,0,0,0,Caatinga,Frequency,10,2019
220,18,0,0,0,0,0,0,0,0,0,Caatinga,Frequency,10,2019
221,22,4,33,9,0,0,66,0,1,113,Caatinga,Frequency,10,2019
222,27,0,5,0,0,0,0,0,0,5,Caatinga,Frequency,10,2019
223,33,7,22,1,0,0,6,0,93,129,Caatinga,Frequency,10,2019
224,Total,465,4800,207,0,0,148,0,101,5721,Caatinga,Frequency,10,2019
225,3,0,5,0,0,0,0,0,1,6,757,Frequency,10,1998
226,4,0,137,6,0,0,4,0,0,147,757,Frequency,10,1998
227,12,0,1,0,0,0,1,0,0,2,757,Frequency,10,1998
228,15,0,0,0,0,0,0,0,0,0,757,Frequency,10,1998
229,18,0,0,0,0,0,0,0,0,0,757,Frequency,10,1998
230,22,0,1,0,0,0,0,0,0,1,757,Frequency,10,1998
231,27,0,2,0,0,0,0,0,0,2,757,Frequency,10,1998
232,33,0,1,0,0,0,0,0,4,5,757,Frequency,10,1998
233,Total,0,147,6,0,0,5,0,5,163,757,Frequency,10,1998
234,3,174,185,2,0,0,8,0,0,369,Caatinga,Frequency,5,1997
235,4,435,4242,296,0,0,59,0,10,5042,Caatinga,Frequency,5,1997
236,12,5,57,52,0,0,37,0,7,158,Caatinga,Frequency,5,1997
237,15,0,0,0,0,0,0,0,0,0,Caatinga,Frequency,5,1997
238,18,0,0,0,0,0,0,0,0,0,Caatinga,Frequency,5,1997
239,22,6,21,10,0,0,61,0,2,100,Caatinga,Frequency,5,1997
240,27,6,9,1,0,0,3,0,0,19,Caatinga,Frequency,5,1997
241,33,11,14,2,0,0,10,0,94,131,Caatinga,Frequency,5,1997
242,Total,637,4528,363,0,0,178,0,113,5819,Caatinga,Frequency,5,1997
243,3,1,1,0,0,0,0,0,0,2,76116,Frequency,9,2014
244,4,5,105,10,0,0,2,0,0,122,76116,Frequency,9,2014
245,12,0,1,0,0,0,2,0,0,3,76116,Frequency,9,2014
246,15,0,0,0,0,0,0,0,0,0,76116,Frequency,9,2014
247,18,0,0,0,0,0,0,0,0,0,76116,Frequency,9,2014
248,22,0,0,0,0,0,0,0,0,0,76116,Frequency,9,2014
249,27,0,1,0,0,0,0,0,0,1,76116,Frequency,9,2014
250,33,0,0,0,0,0,0,0,9,9,76116,Frequency,9,2014
251,Total,6,108,10,0,0,4,0,9,137,76116,Frequency,9,2014
252,3,2,6,0,0,0,0,0,0,8,759,Frequency,10,1985
253,4,1,34,0,0,0,0,0,0,35,759,Frequency,10,1985
254,12,0,0,0,0,0,0,0,0,0,759,Frequency,10,1985
255,15,0,0,0,0,0,0,0,0,0,759,Frequency,10,1985
256,18,0,0,0,0,0,0,0,0,0,759,Frequency,10,1985
257,22,0,1,0,0,0,0,0,0,1,759,Frequency,10,1985
258,27,1,23,0,0,0,0,0,0,24,759,Frequency,10,1985
259,33,0,1,0,0,0,0,0,0,1,759,Frequency,10,1985
260,Total,4,65,0,0,0,0,0,0,69,759,Frequency,10,1985
261,3,0,1,0,0,0,0,0,0,1,7618,Frequency,5,2003
262,4,0,93,9,0,0,2,0,0,104,7618,Frequency,5,2003
263,12,0,1,0,0,0,0,0,0,1,7618,Frequency,5,2003
264,15,0,0,0,0,0,0,0,0,0,7618,Frequency,5,2003
265,18,0,0,0,0,0,0,0,0,0,7618,Frequency,5,2003
266,22,0,0,0,0,0,1,0,0,1,7618,Frequency,5,2003
267,27,0,0,0,0,0,0,0,0,0,7618,Frequency,5,2003
268,33,0,0,0,0,0,0,0,0,0,7618,Frequency,5,2003
269,Total,0,95,9,0,0,3,0,0,107,7618,Frequency,5,2003
270,3,1,0,0,0,0,0,0,0,1,7615,Frequency,5,1992
271,4,1,144,38,0,0,1,0,0,184,7615,Frequency,5,1992
272,12,0,1,3,0,0,11,0,0,15,7615,Frequency,5,1992
273,15,0,0,0,0,0,0,0,0,0,7615,Frequency,5,1992
274,18,0,0,0,0,0,0,0,0,0,7615,Frequency,5,1992
275,22,0,0,0,0,0,1,0,0,1,7615,Frequency,5,1992
276,27,0,0,0,0,0,0,0,0,0,7615,Frequency,5,1992
277,33,0,0,0,0,0,0,0,2,2,7615,Frequency,5,1992
278,Total,2,145,41,0,0,13,0,2,203,7615,Frequency,5,1992
279,3,2,5,0,0,0,0,0,0,7,767,Frequency,5,1989
280,4,1,44,0,0,0,0,0,0,45,767,Frequency,5,1989
281,12,0,0,0,0,0,0,0,0,0,767,Frequency,5,1989
282,15,0,0,0,0,0,0,0,0,0,767,Frequency,5,1989
283,18,0,0,0,0,0,0,0,0,0,767,Frequency,5,1989
284,22,0,0,0,0,0,1,0,0,1,767,Frequency,5,1989
285,27,0,0,0,0,0,0,0,0,0,767,Frequency,5,1989
286,33,0,0,0,0,0,0,0,0,0,767,Frequency,5,1989
287,Total,3,49,0,0,0,1,0,0,53,767,Frequency,5,1989
288,3,20,14,0,0,0,0,0,0,34,746,Frequency,10,1990
289,4,21,104,0,0,0,0,0,0,125,746,Frequency,10,1990
290,12,0,3,0,0,0,0,0,0,3,746,Frequency,10,1990
291,15,0,0,0,0,0,0,0,0,0,746,Frequency,10,1990
292,18,0,0,0,0,0,0,0,0,0,746,Frequency,10,1990
293,22,0,1,0,0,0,1,0,0,2,746,Frequency,10,1990
294,27,0,0,0,0,0,0,0,0,0,746,Frequency,10,1990
295,33,0,0,0,0,0,0,0,1,1,746,Frequency,10,1990
296,Total,41,122,0,0,0,1,0,1,165,746,Frequency,10,1990
297,3,7,1,0,0,0,1,0,0,9,772,Frequency,10,2021
298,4,5,107,1,0,0,0,0,0,113,772,Frequency,10,2021
299,12,0,1,0,0,0,0,0,0,1,772,Frequency,10,2021
300,15,0,0,0,0,0,0,0,0,0,772,Frequency,10,2021
301,18,0,0,0,0,0,0,0,0,0,772,Frequency,10,2021
302,22,0,0,0,0,0,1,0,0,1,772,Frequency,10,2021
303,27,0,1,0,0,0,0,0,0,1,772,Frequency,10,2021
304,33,0,0,0,0,0,0,0,1,1,772,Frequency,10,2021
305,Total,12,110,1,0,0,2,0,1,126,772,Frequency,10,2021
306,3,7,11,0,0,0,0,0,0,18,763,Frequency,5,2015
307,4,17,167,6,0,0,0,0,0,190,763,Frequency,5,2015
308,12,0,5,6,0,0,0,0,0,11,763,Frequency,5,2015
309,15,0,0,0,0,0,0,0,0,0,763,Frequency,5,2015
310,18,0,0,0,0,0,0,0,0,0,763,Frequency,5,2015
311,22,1,0,2,0,0,1,0,0,4,763,Frequency,5,2015
312,27,0,0,0,0,0,0,0,0,0,763,Frequency,5,2015
313,33,1,0,0,0,0,0,0,2,3,763,Frequency,5,2015
314,Total,26,183,14,0,0,1,0,2,226,763,Frequency,5,2015
315,3,0,5,0,0,0,1,0,0,6,7619,Frequency,10,2020
316,4,0,229,26,0,0,5,0,0,260,7619,Frequency,10,2020
317,12,0,3,0,0,0,3,0,3,9,7619,Frequency,10,2020
318,15,0,0,0,0,0,0,0,0,0,7619,Frequency,10,2020
319,18,0,0,0,0,0,0,0,0,0,7619,Frequency,10,2020
320,22,0,1,0,0,0,0,0,0,1,7619,Frequency,10,2020
321,27,0,0,0,0,0,0,0,0,0,7619,Frequency,10,2020
322,33,0,0,0,0,0,0,0,2,2,7619,Frequency,10,2020
323,Total,0,238,26,0,0,9,0,5,278,7619,Frequency,10,2020
324,3,1,4,0,0,0,0,0,0,5,752,Frequency,9,2010
325,4,13,97,0,0,0,7,0,0,117,752,Frequency,9,2010
326,12,0,2,0,0,0,1,0,0,3,752,Frequency,9,2010
327,15,0,0,0,0,0,0,0,0,0,752,Frequency,9,2010
328,18,0,0,0,0,0,0,0,0,0,752,Frequency,9,2010
329,22,0,1,0,0,0,3,0,0,4,752,Frequency,9,2010
330,27,0,0,0,0,0,0,0,0,0,752,Frequency,9,2010
331,33,0,0,0,0,0,1,0,2,3,752,Frequency,9,2010
332,Total,14,104,0,0,0,12,0,2,132,752,Frequency,9,2010
333,3,6,3,0,0,0,0,0,0,9,764,Frequency,5,2010
334,4,3,20,0,0,0,1,0,0,24,764,Frequency,5,2010
335,12,0,0,0,0,0,0,0,0,0,764,Frequency,5,2010
336,15,0,0,0,0,0,0,0,0,0,764,Frequency,5,2010
337,18,0,0,0,0,0,0,0,0,0,764,Frequency,5,2010
338,22,0,1,0,0,0,0,0,1,2,764,Frequency,5,2010
339,27,0,0,0,0,0,0,0,0,0,764,Frequency,5,2010
340,33,0,0,0,0,0,0,0,0,0,764,Frequency,5,2010
341,Total,9,24,0,0,0,1,0,1,35,764,Frequency,5,2010
342,3,0,0,0,0,0,0,0,0,0,7616,Frequency,5,1986
343,4,1,85,14,0,0,0,0,0,100,7616,Frequency,5,1986
344,12,0,0,2,0,0,1,0,0,3,7616,Frequency,5,1986
345,15,0,0,0,0,0,0,0,0,0,7616,Frequency,5,1986
346,18,0,0,0,0,0,0,0,0,0,7616,Frequency,5,1986
347,22,0,0,0,0,0,0,0,0,0,7616,Frequency,5,1986
348,27,0,2,0,0,0,0,0,0,2,7616,Frequency,5,1986
349,33,0,0,0,0,0,0,0,0,0,7616,Frequency,5,1986
350,Total,1,87,16,0,0,1,0,0,105,7616,Frequency,5,1986
351,3,0,11,0,0,0,0,0,0,11,76111,Frequency,10,2008
352,4,0,40,2,0,0,0,0,0,42,76111,Frequency,10,2008
353,12,0,0,0,0,0,0,0,0,0,76111,Frequency,10,2008
354,15,0,0,0,0,0,0,0,0,0,76111,Frequency,10,2008
355,18,0,0,0,0,0,0,0,0,0,76111,Frequency,10,2008
356,22,0,0,0,0,0,1,0,0,1,76111,Frequency,10,2008
357,27,0,0,0,0,0,0,0,0,0,76111,Frequency,10,2008
358,33,0,0,0,0,0,0,0,3,3,76111,Frequency,10,2008
359,Total,0,51,2,0,0,1,0,3,57,76111,Frequency,10,2008
360,3,15,3,2,0,0,1,0,0,21,751,Frequency,10,1990
361,4,82,67,0,0,0,2,0,1,152,751,Frequency,10,1990
362,12,1,6,0,0,0,2,0,0,9,751,Frequency,10,1990
363,15,0,0,0,0,0,0,0,0,0,751,Frequency,10,1990
364,18,0,0,0,0,0,0,0,0,0,751,Frequency,10,1990
365,22,0,4,0,0,0,6,0,0,10,751,Frequency,10,1990
366,27,0,0,0,0,0,0,0,0,0,751,Frequency,10,1990
367,33,0,1,1,0,0,2,0,0,4,751,Frequency,10,1990
368,Total,98,81,3,0,0,13,0,1,196,751,Frequency,10,1990
369,3,2,10,0,0,0,0,0,0,12,766,Frequency,9,1994
370,4,0,87,0,0,0,0,0,0,87,766,Frequency,9,1994
371,12,0,4,0,0,0,0,0,0,4,766,Frequency,9,1994
372,15,0,0,0,0,0,0,0,0,0,766,Frequency,9,1994
373,18,0,0,0,0,0,0,0,0,0,766,Frequency,9,1994
374,22,0,1,0,0,0,1,0,0,2,766,Frequency,9,1994
375,27,0,0,0,0,0,0,0,0,0,766,Frequency,9,1994
376,33,0,0,0,0,0,0,0,2,2,766,Frequency,9,1994
377,Total,2,102,0,0,0,1,0,2,107,766,Frequency,9,1994
378,3,0,1,0,0,0,0,0,0,1,7615,Frequency,9,2022
379,4,0,108,28,0,0,2,0,0,138,7615,Frequency,9,2022
380,12,0,0,11,0,0,0,0,0,11,7615,Frequency,9,2022
381,15,0,0,0,0,0,0,0,0,0,7615,Frequency,9,2022
382,18,0,0,0,0,0,0,0,0,0,7615,Frequency,9,2022
383,22,0,0,1,0,0,2,0,0,3,7615,Frequency,9,2022
384,27,0,0,0,0,0,0,0,0,0,7615,Frequency,9,2022
385,33,0,0,0,0,0,0,0,2,2,7615,Frequency,9,2022
386,Total,0,109,40,0,0,4,0,2,155,7615,Frequency,9,2022
387,3,0,14,0,0,0,0,0,0,14,765,Frequency,10,2016
388,4,0,86,0,0,0,0,0,0,86,765,Frequency,10,2016
389,12,0,0,0,0,0,0,0,0,0,765,Frequency,10,2016
390,15,0,0,0,0,0,0,0,0,0,765,Frequency,10,2016
391,18,0,0,0,0,0,0,0,0,0,765,Frequency,10,2016
392,22,0,1,0,0,0,3,0,1,5,765,Frequency,10,2016
393,27,0,0,0,0,0,0,0,0,0,765,Frequency,10,2016
394,33,0,1,0,0,0,0,0,1,2,765,Frequency,10,2016
395,Total,0,102,0,0,0,3,0,2,107,765,Frequency,10,2016
396,3,3,5,0,0,0,0,0,0,8,764,Frequency,5,2003
397,4,2,20,0,0,0,2,0,0,24,764,Frequency,5,2003
398,12,0,0,0,0,0,0,0,0,0,764,Frequency,5,2003
